timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005224934,95,Discount,200,OK,Thread Group 1-178,text,true,,330,198,10,19,95,0,45
1490005224941,93,Account,200,OK,Thread Group 2-154,text,true,,330,156,10,19,93,0,44
1490005224944,93,Discount,200,OK,Thread Group 1-179,text,true,,331,198,10,19,93,0,44
1490005224950,93,Account,200,OK,Thread Group 2-155,text,true,,330,158,9,18,93,0,44
1490005224955,96,Discount,200,OK,Thread Group 1-180,text,true,,331,199,10,19,96,0,46
1490005224960,92,Account,200,OK,Thread Group 2-156,text,true,,330,159,9,18,92,0,44
1490005224965,94,Discount,200,OK,Thread Group 1-181,text,true,,331,198,9,18,94,0,45
1490005224970,93,Account,200,OK,Thread Group 2-157,text,true,,330,156,9,18,93,0,45
1490005224976,92,Discount,200,OK,Thread Group 1-182,text,true,,331,199,9,18,92,0,44
1490005224983,94,Account,200,OK,Thread Group 2-158,text,true,,330,158,10,19,94,0,45
1490005224987,92,Discount,200,OK,Thread Group 1-183,text,true,,331,199,10,19,92,0,45
1490005224992,94,Account,200,OK,Thread Group 2-159,text,true,,330,159,10,19,94,0,45
1490005224997,94,Discount,200,OK,Thread Group 1-184,text,true,,330,200,10,19,94,0,45
1490005225004,95,Account,200,OK,Thread Group 2-160,text,true,,330,156,10,19,94,0,45
1490005225007,93,Discount,200,OK,Thread Group 1-185,text,true,,330,197,10,19,92,0,45
1490005225013,94,Account,200,OK,Thread Group 2-161,text,true,,330,158,10,19,94,0,46
1490005225018,94,Discount,200,OK,Thread Group 1-186,text,true,,330,198,9,18,94,0,45
1490005225024,95,Account,200,OK,Thread Group 2-162,text,true,,330,159,10,19,95,0,46
1490005225028,92,Discount,200,OK,Thread Group 1-187,text,true,,331,198,9,18,91,0,44
1490005225033,92,Account,200,OK,Thread Group 2-163,text,true,,330,156,9,18,92,0,44
1490005225038,93,Discount,200,OK,Thread Group 1-188,text,true,,331,199,10,19,93,0,44
1490005225044,94,Account,200,OK,Thread Group 2-164,text,true,,330,158,10,19,94,0,45
1490005225047,93,Discount,200,OK,Thread Group 1-189,text,true,,331,198,9,18,92,0,44
1490005225054,93,Account,200,OK,Thread Group 2-165,text,true,,330,159,9,18,93,0,45
1490005225065,96,Account,200,OK,Thread Group 2-166,text,true,,330,156,8,17,96,0,44
1490005225059,103,Discount,200,OK,Thread Group 1-190,text,true,,331,199,10,18,103,0,45
1490005225069,96,Discount,200,OK,Thread Group 1-191,text,true,,331,199,10,19,95,0,45
1490005225075,95,Account,200,OK,Thread Group 2-167,text,true,,330,158,9,18,95,0,44
1490005225078,96,Discount,200,OK,Thread Group 1-192,text,true,,330,200,10,19,96,0,45
1490005225085,94,Account,200,OK,Thread Group 2-168,text,true,,330,159,9,18,94,0,46
1490005225091,93,Discount,200,OK,Thread Group 1-193,text,true,,330,197,10,19,93,0,44
1490005225096,94,Account,200,OK,Thread Group 2-169,text,true,,330,156,9,18,94,0,44
1490005225100,94,Discount,200,OK,Thread Group 1-194,text,true,,330,198,10,18,94,0,45
1490005225113,104,Discount,200,OK,Thread Group 1-195,text,true,,331,198,11,22,104,0,48
1490005225115,102,Account,200,OK,Thread Group 2-171,text,true,,330,159,11,22,102,0,46
1490005225122,101,Discount,200,OK,Thread Group 1-196,text,true,,331,199,11,21,101,0,46
1490005225105,120,Account,200,OK,Thread Group 2-170,text,true,,330,158,10,20,120,0,58
1490005225131,94,Discount,200,OK,Thread Group 1-197,text,true,,331,198,10,20,94,0,44
1490005225127,104,Account,200,OK,Thread Group 2-172,text,true,,330,156,10,19,104,0,45
1490005225141,93,Discount,200,OK,Thread Group 1-198,text,true,,331,199,9,18,93,0,45
1490005225136,100,Account,200,OK,Thread Group 2-173,text,true,,330,158,10,19,100,0,45
1490005225163,93,Discount,200,OK,Thread Group 1-200,text,true,,330,200,11,22,93,0,45
